frag_group,first_scan,med_fragmz,med_premz,med_int,rt,compound_name
1,145548,44.0494441986084,62.060028,100,15.4022814166665,Ethanolamine
3,145548,45.03343200683594,62.060028,8.168545810473244,15.4022814166665,Ethanolamine
2,145548,62.05999565124512,62.060028,33.267706396478985,15.4022814166665,Ethanolamine
3,105197,58.065114974975586,76.03926050000001,45.12944486062317,11.043431550000001,Glycine
1,104423,76.03921127319336,76.039238,55.297402934232075,10.986079316667,Glycine
2,104423,76.07560348510742,76.039238,75.5467007050018,10.986079316667,Glycine
2,65893,58.065073013305664,76.07561100000001,67.2824285134612,6.8806604083335,Trimethylamine N-oxide
3,65893,59.07290077209473,76.07561100000001,56.31514531149659,6.8806604083335,Trimethylamine N-oxide
1,65893,76.07561874389648,76.07561100000001,100,6.8806604083335,Trimethylamine N-oxide
2,65583,66.11524963378906,85.132019,55.38266566534966,6.9859461333335,"Trimethylamine N-oxide, 2H9"
3,65583,68.12934112548828,85.132019,56.4687348248799,6.9859461333335,"Trimethylamine N-oxide, 2H9"
1,65583,85.13206481933594,85.132019,100,6.9859461333335,"Trimethylamine N-oxide, 2H9"
1,108995,44.04945373535156,90.054832,100,11.273394516667,beta-Alanine
2,108995,90.05493927001953,90.054817,14.455195900783302,11.29282215,beta-Alanine
1,95397,44.04943656921387,90.054848,100,9.895759349999999,L-Alanine
2,95397,90.05484771728516,90.054871,8.476393172165537,9.895759349999999,L-Alanine
1,97580,47.068260192871094,93.073685,100,10.254141516667001,"L-Alanine, 2H3"
2,97580,93.04473876953125,93.07370399999999,2.799356463403723,10.269782516667,"L-Alanine, 2H3"
6,112649,41.03853797912598,104.07042,10.660275316884487,11.6273904833335,4-Aminobutyric acid
5,112649,43.01778984069824,104.07043,44.91266546528624,11.620305275,4-Aminobutyric acid
2,112649,45.0334415435791,104.07043,68.16295515894869,11.620305275,4-Aminobutyric acid
9,112934,58.06509971618652,104.07048,3.510840600735505,11.61068465,4-Aminobutyric acid
8,113498,68.049530029296875,104.070415,3.772460600802542,11.6303047,4-Aminobutyric acid
3,112649,69.0334358215332,104.07043,48.07484288955335,11.620305275,4-Aminobutyric acid
4,112649,86.05992126464844,104.07043,28.86588216008794,11.620305275,4-Aminobutyric acid
1,112649,87.043975830078125,104.07043,100,11.620305275,4-Aminobutyric acid
7,112649,104.07047271728516,104.070445,6.312398624606158,11.61739295,4-Aminobutyric acid
4,73435,42.03369140625,104.07042,3.7776913009149675,7.621621341666501,Dimethylglycine
6,73121,43.04160690307617,104.070365,1.6614725497508598,7.636644116666499,Dimethylglycine
1,73121,58.0650520324707,104.0704,100,7.6320996916665,Dimethylglycine
5,73121,79.05409622192383,104.070365,1.950859034304996,7.636644116666499,Dimethylglycine
3,73121,104.07052612304688,104.0704,13.306800077754808,7.6320996916665,Dimethylglycine
2,73121,105.06976699829102,104.0704,10.157879466073075,7.6320996916665,Dimethylglycine
3,167078,45.03342628479004,104.10674,4.157763282805385,17.983995041667,Choline
4,167966,58.06512260437012,104.1067,1.2056624020111533,17.983995041667,Choline
2,167078,60.08070182800293,104.10674,14.706422823002622,17.983995041667,Choline
1,167078,104.10688018798828,104.10674,100,17.983995041667,Choline
2,92480,42.03379440307617,106.04974,34.67679788995645,9.623418916667,L-Serine
7,93044,44.0494499206543,106.04979,4.4467947597330975,9.613463108333502,L-Serine
1,92480,60.04434585571289,106.04974,100,9.623418916667,L-Serine
5,93044,70.02864074707031,106.049755,8.17446178297444,9.6321617333335,L-Serine
8,93818,70.06505966186523,106.049735,5.111114147114608,9.651461625,L-Serine
3,92480,88.03938293457031,106.04974,8.35962646912241,9.623418916667,L-Serine
4,92480,88.07563400268555,106.04974,5.805359410550617,9.623418916667,L-Serine
9,92480,106.04983139038086,106.04974,3.192151994238361,9.60935975,L-Serine
6,92480,106.08620071411133,106.04974,5.673835371347797,9.629742425,L-Serine
3,68302,69.04466247558594,112.05035,5.159947062631783,7.1236059166665004,Cytosine
4,68302,94.039947509765625,112.05035,3.387980711091424,7.1236059166665004,Cytosine
2,68302,95.023956298828125,112.05035,12.2720723220647,7.1236059166665004,Cytosine
6,68302,95.08566665649414,112.05031,0.8625508184656987,7.131466175,Cytosine
1,68302,112.05049133300781,112.05035,100,7.1236059166665004,Cytosine
5,68302,112.11225128173828,112.050325,0.955470538314591,7.125540708333,Cytosine
6,49355,43.02902603149414,114.06601,1.5511676624130044,5.164853375,Creatinine
1,49355,44.04942321777344,114.06599,100,5.165342316667,Creatinine
4,49542,47.379520416259766,114.06596,1.297541919646919,5.180468925,Creatinine
7,49355,72.04424667358398,114.06601,0.5755002782187326,5.164853375,Creatinine
3,49355,86.0711898803711,114.06599,17.45766083407288,5.165342316667,Creatinine
2,49355,114.06607818603516,114.06599,66.29120822819681,5.165342316667,Creatinine
5,49355,115.06940460205078,114.06601,1.2683178731653975,5.164853375,Creatinine
1,86320,70.06505966186523,116.07044,100,9.0000845333335,L-Proline
3,86320,71.068359375,116.07048,1.42514673266963,8.9854474666665,L-Proline
2,86320,116.07050323486328,116.07044,13.959005603371217,9.0000845333335,L-Proline
4,68444,72.04214096069336,117.04819,4.391122609010559,7.1450858,"Cytosine, 13C2, 15N3"
3,68315,99.0246467590332,117.04818,11.683505594143668,7.1421586583335,"Cytosine, 13C2, 15N3"
5,68444,99.03763198852539,117.04819,2.3025498065295773,7.1450858,"Cytosine, 13C2, 15N3"
1,68315,117.04827117919922,117.04818,100,7.1421586583335,"Cytosine, 13C2, 15N3"
